品牌:
    跃航 :24003
    塑胶 :7614
    布 :649521
    亚麻 :17898
    油纸 :39488
    藤竹 :7441
    其他 :823612
    竹 :174195
    仿绸 :50157
    人造砂岩 :15169
    高分子 :6189
    铝合金 :79829
    合成材料 :8747
    黄铜 :5464
    橡胶 :5030
    水性聚氨脂漆 :16041
    脲醛树脂 :15920
    铜 :37496
    有机玻璃 :104582
    铸铁 :9360
    ABS :49699
    其他/other :328378
    樟子松 :5709
    304不锈钢 :58905
    纸 :17956
    皮革 :42081
    纯棉 :51473
    钢 :111381
    纱 :6915
    羽毛 :50388
    合成树脂 :25070
    铝 :263888
    卡纸 :5819
    混纺 :162746
    金属 :811224
    玻璃 :103998
    雪尼尔 :11533
    201不锈钢 :39720
    无纺布 :17055
    亚麻布 :8363
    布艺 :8338
    PVC :548434
    钢木 :6403
    密度板 :20995
    树脂 :239582
    亚克力 :53692
    毛料 :7999
    水晶 :39962
    仿丝 :9585
    柳编 :5789
    纯铜 :6655
    花布 :7417
    蚕丝 :16090
    陶瓷 :149687
    锌合金 :57138
风格:
    卡通风 :35097
    新古典 :91965
    北欧 :213895
    欧美 :110384
    复古怀旧 :380248
    时尚潮流 :23013
    欧式 :1253428
    休闲 :10864
    现代中式 :367876
    明清古典 :92621
    日式 :156343
    中国风 :65717
    美式 :81144
    美式简约 :9292
    简约现代 :4255037
    卡通 :5010
    韩版 :23172
    中式 :178386
    工业风 :5613
    东南亚 :34756
    韩式 :207000
    美式乡村 :258086
    古典 :16082
    民族风 :10241
    西欧风情 :5737
    其他/other :51887
    其他 :204814
    韩式风 :12278
    北欧风格 :124938
    新中式 :46421
    田园 :979186
    后现代 :8432
    地中海 :54449
    日韩 :99354
    通勤 :18615
    简约 :65110
    现代 :26329
    甜美 :6605
产地:
    北京 :42033
    其他海外地区 :204222
    天津 :7932
    河北省 :340227
    中国大陆 :1264041
    福建省 :247377
    浙江省 :1082635
    江西省 :53755
    四川省 :39385
    上海 :72483
    安徽省 :21846
    港澳台地区 :19468
    江苏省 :998106
    中国 :268099
    天津市 :44064
    韩国 :14035
    欧洲 :5340
    其他/other :12925
    其他 :60792
    美国 :12755
    重庆市 :5405
    河南省 :41514
    上海市 :110673
    北京市 :66687
    广西壮族自治区 :50211
    亚太 :41842
    广东省 :638969
    山东省 :195040
    湖北省 :26313
    日本 :11914
    湖南省 :11649
图案:
    植物花卉 :1020278
    纯色 :645648
    木纹 :8615
    动物图案 :84538
    品牌LOGO :19704
    植物花卉 条纹 纯色 :6946
    Bar/小熊 :7463
    大花 :8143
    文字 :40833
    植物花卉 草 叶子 条纹 格子 圆圈 心形 卡通动漫 几何图案 人物 风景 纯色 喜庆 其他/other :10944
    叶子 :7522
    植物花卉 草 叶子 圆圈 卡通动漫 几何图案 :9599
    建筑 :12339
    卡通动漫 :433622
    童趣/玩具 :39853
    植物花卉 草 叶子 风景 :5530
    仿石纹 :13403
    风景 :118690
    植物花卉 草 :5413
    心形 :6112
    艺术 :441554
    植物花卉 条纹 格子 其他/other :21480
    字母 :13251
    刊物 :7811
    植物花卉 草 叶子 格子 圆圈 卡通动漫 风景 :7958
    其他/other :226040
    其他 :734900
    圆圈 :14764
    喜庆 :39593
    碎花 :22116
    抽象图案 :560207
    民俗民风 :13988
    条纹 :85252
    人物 :45336
    格子 :33743
    静物 :73260
    植物花卉 草 叶子 :13981
    大马士革 :8398
    几何图案 :192916
    动物 :38519
    各国风情 :11903
是否可定制:
    否 :2634095
    是 :1184283
型号:
    01 :64682
    1-1 :6770
    801 :10517
    20171222 :7308
    012525 :5339
    y4419 :5894
    023 :6518
    003 :23674
    2017 :8039
    支架001 :8960
    0001 :8558
    20180115 :21327
    2 :20180
    12 :10131
    02 :14689
    20171202 :5958
    20171225 :5122
    012 :6219
    004 :6087
    书架 :7213
    平板防滑条 :10397
    - :28688
    20180102 :5008
    20180114 :28219
    192 :6022
    文件柜 :7690
    其_它 :31688
    other :45155
    11 :17439
    03 :8564
    A1077 :5276
    20171209 :6745
    011 :6583
    others :6722
    20171224 :5291
    车载垃圾桶 :5338
    005 :12775
    20180113 :36153
    20171230 :9003
    101 :5064
    0 :14769
    20180106 :8967
    666 :11922
    888 :17237
    YW21 :5537
    R84 :6813
    GY-02 :5339
    20171208 :5700
    -1 :18907
    JL-FPMFT :9113
    WQB--T002 :6205
    345345 :9267
    汽车补漆笔 :14867
    123 :33550
    20171204 :5103
    墙纸 :8969
    010 :8223
    衣柜 :5028
    20180119 :5160
    20180112 :21725
    20171231 :5098
    双开门 :5482
    100 :37640
    2018 :5640
    3 :12802
    D9029 :6368
    无 :718748
    27 :5430
    a886 :6323
    防滑条 :5263
    05 :5331
    默认 :17275
    20180118 :7783
    A字牌 :13556
    20189 :5216
    901 :5748
    33 :9631
    20171216 :6842
    006 :42708
    20180111 :19096
    型号 :82136
    桌面收纳盒 :7850
    123456 :10260
    20180104 :5836
    厂标 :11921
    20180105 :7512
    688 :6078
    20171218 :9414
    klj012 :9388
    20171210 :5714
    000 :8311
    补漆笔 :10183
    20171221 :5888
    WJG :13023
    浴缸下水器  排水管 :8779
    007 :10045
    20171217 :5191
    110 :7634
    通用 :5512
    20171226 :6744
    1 :79213
    20171229 :7179
    20180110 :9917
    86 :5769
    见详情 :75698
    PZ-1018 :6776
    其他型号 :111682
    20171219 :5390
    淘乐裕皂液器 :5167
    20171211 :7413
    88 :5597
    001 :119559
    20180108 :9174
    20171220 :7309
    型号05 :5428
    A :9468
    MFT139 :6372
    tcp1 :7419
    008 :23132
    20171206 :5350
    8886 :5341
    见描述 :539757
    20180107 :11793
    ZCM01 :10136
    鞋柜 :6080
    20180117 :14526
    855 :17239
    00 :10557
    111 :15411
    o500 :9521
    停车牌 :7345
    002 :34677
    M-8002 :5487
    20180109 :10231
    20171223 :6115
    20171228 :5408
    0000 :6115
    885 :7938
    其(他)它 :64835
    8001 :5418
    009 :8930
    00000 :5388
    2012 :6339
    型号01 :7419
    20180116 :24674
    other/其他 :6069
适用对象:
    单电视 :7303
    八角窗 凸窗 落地窗 其他/other 天窗 :5715
    内衣 大衣/西服 毛衣 被子 包包 化妆用品/首饰 磁卡 卫生棉/卫生巾 其他 遥控器 耳机线/电线 :5223
    其他 :39081
    鞋 :5814
    内墙 :64543
    服装 :51761
    双人座沙发 :30530
    儿童 :117324
    组合沙发 :395579
    外墙 :10831
    花卉/绿植 :19203
    床上用品 :33732
    女 :13377
    内衣 毛衣 包包 化妆用品/首饰 磁卡 卫生棉/卫生巾 其他 遥控器 耳机线/电线 :11517
    青年 :46955
    飘窗 八角窗 凸窗 落地窗 其他/other 平面窗 拐角窗 弧型窗 :20593
    成人 :1718347
    学生 :5911
    脸盆 :6913
    室内地砖 :54601
    三人座沙发 :74137
    单电脑 :5079
    其他/other :11469
    沙发布料 :45392
    单人座沙发 :17660
    衣物 :5019
    内衣 大衣/西服 毛衣 被子 包包 化妆用品/首饰 磁卡 卫生棉/卫生巾 其他 遥控器 耳机线/电线 :42355
    青年（18-40周岁） :13952
    一家三口 :10001
    杂物 :9813
    中年 :7708
    通用 :69209
    青年女性 :6575
    其它手工diy布料 :27315
    情侣 :52779
    衣帽 :21362
    飘窗 八角窗 凸窗 落地窗 平面窗 拐角窗 弧型窗 :10141
    适龄儿童 :6686
    内衣 :11275
款式定位:
    艺术风格型 :491775
    经济型 :2046102
    品质奢华型 :426455
出租车是否可运输:
    否 :630758
    是 :2308752
安装说明详情:
    提供安装说明书 :647856
    提供简单安装工具 提供安装说明书 :59775
    提供安装说明视频 提供简单安装工具 :32321
    提供安装说明视频 :53387
    提供安装说明书 提供安装说明视频 :15436
    提供安装说明书 提供简单安装工具 :59457
    提供安装说明视频 提供安装说明书 提供简单安装工具 :28043
    提供安装说明书 提供安装说明视频 提供简单安装工具 :542646
    提供安装说明书 无安装说明 :7124
    提供安装说明书 提供安装说明视频 提供简单安装工具 :86861
    提供安装说明书 提供简单安装工具 无安装说明 :5020
    提供简单安装工具 提供安装说明视频 提供安装说明书 :33287
    提供简单安装工具 :140435
    无安装说明 :314374
    提供简单安装工具 无安装说明 :18971
    提供简单安装工具 提供安装说明书 提供安装说明视频 :21229
    提供安装说明书 提供简单安装工具 :531796
    提供安装说明书 提供安装说明视频 提供简单安装工具 无安装说明 :13846
    提供安装说明书 提供安装说明视频 :138326
    提供安装说明视频 提供安装说明书 :15004
是否组装:
    组装 :1765930
    整装 :821648
附加功能:
    移动 :259793
    防腐 :12081
    拆装 :807170
    升降 :43242
    储藏 :287716
    悬挂 :25775
    折叠 :233377
    伸缩 :33982
    旋转 :9944
    翻转 :8389
    推拉 :28440
    多功能 :289232
地市:
    湖州市 :130020
    丽水市 :121060
    中山市 :15279
    佛山市 :237318
    南京市 :12469
    深圳市 :12226
    青岛市 :6495
    金华市 :174717
    苏州市 :53194
    揭阳市 :7500
    东莞市 :40943
    徐州市 :148402
    杭州市 :89815
    贵港市 :22683
    广州市 :11305
    北京市 :33044
    南宁市 :12158
    厦门市 :6750
    天津市 :7160
    台州市 :28163
    菏泽市 :76308
    南平市 :6048
    上海市 :56999
    廊坊市 :85821
    莆田市 :7183
    赣州市 :25561
    常州市 :365777
    泉州市 :79721
    惠州市 :5566
    福州市 :26505
    成都市 :21201
    石家庄市 :17810
    宿迁市 :33406
计价单位:
    1㎡ :55542
    米 :435827
    0.18㎡ :12568
    张 :311551
    根 :9628
    米 片 :7339
    片 :14626
    套 :215072
    平方米 :146504
    0.8片 :5199
    1卷 :220877
    0.1㎡ :10029
    1片 :165897
    延米 :5607
    0.3米 :9997
    卷 :25924
    0.64㎡ :31725
    0卷 :6431
    0.09㎡ :31603
    0.36㎡ :6489
    1米 :14001
    件 :78060
适用空间:
    客厅 餐厅 厨房 书房 卧室 卫生间 其他/other :207756
    客厅 餐厅 厨房 书房 卧室 其他/other :29995
    客厅 门厅 卧室 其他/other :18973
    卧室 卫生间 其他/other :42392
    楼梯 客厅 门厅 卧室 其他/other :7034
    地面 :8300
    客厅 门厅 卧室 :12534
    书房 :60227
    客厅 餐厅 厨房 书房 卧室 卫生间 其他/other :9822
    浴室 :20404
    客厅 书房 卧室 :13783
    门后/墙面 :9894
    客厅 书房 卧室 其他/other :15809
    儿童房 :32988
    卫浴 :6371
    桌面 地面 :5171
    会客区 :6608
    卧室 卫生间 :6955
    客厅 餐厅 书房 卧室 :8127
    衣橱/衣帽间 :55362
    客厅 卧室 其他/other :7667
    卧室 :240047
    卫生间 :10657
    更衣室 :18094
    客厅 书房 卧室 婚房 老人房 儿童房 :9383
    客厅 餐厅 书房 卧室 卫生间 其他/other :6506
    主卧 :6371
    客厅 餐厅 厨房 书房 卧室 :7774
    卫浴 厨房 客厅 门厅 卧室 其他/other :9084
    办公区 :24277
    客厅 :488393
    其他/other :57190
    卫浴 厨房 楼梯 客厅 门厅 卧室 :5342
    卫浴 厨房 楼梯 :5637
    客厅 餐厅 书房 卧室 其他/other :50671
    厨房 :41064
    卫浴 其他/other :5141
    客厅 卧室 :6943
    客厅 餐厅 :13884
    客厅 餐厅 厨房 书房 卧室 卫生间 :22139
    宿舍 :6956
    卫浴 厨房 楼梯 客厅 门厅 卧室 其他/other :43848
    客厅 书房 卧室 厨房 婚房 老人房 儿童房 :20784
    餐厅 :41763
    玄关 :7422
    办公室 :13595
    衣柜/衣橱 :5258
家具结构:
    支架结构 框架结构 箱框结构 :5490
    曲木结构 :7998
    框架结构 :1017165
    箱框结构 :158183
    支架结构 :394133
    无框架结构 :9185
    整装 :16176
    其他/other :39617
    编织/缠绕/捆扎结构 :23393
    框架结构 箱框结构 :6612
    组装 :25900
包装体积:
    0.6 :28213
    6 :7096
    8 :7133
    0.25 :16862
    0.4 :34364
    60.30.9 :10452
    0.6*0.3*0.07 :5994
    3.5 :8566
    100 :6157
    0.12 :22869
    0.07 :16851
    0.02 :34625
    0.8 :32373
    . :5479
    0 :5096
    2.5 :7679
    2 :40396
    0.024 :9219
    0.45 :7237
    0.2 :123790
    4 :7111
    详细见详情 :5083
    0.7 :8357
    0.1 :195301
    0.5 :79671
    10 :9852
    1.5 :22188
    0.08 :15363
    0.15 :24724
    0.04 :36641
    0.06 :14383
    参考详情 :28128
    0.16 :5868
    96cm*65cm*15cm :6451
    0.03 :26327
    见详情 :66344
    0.05 :33538
    0.01 :33986
    参见详情 :19777
    1.2 :17027
    0.35 :11588
    1 :237428
    参看详情 :16788
    3 :28359
    多种规格 :8759
    5 :12313
    0.3 :103102
区县:
    闽侯县 :8357
    定陶县 :13731
    霸州市 :58628
    仙游县 :5945
    余杭区 :18509
    正定县 :11201
    其它区 :179639
    宿城区 :26741
    奉贤区 :17242
    南康市 :20714
    萧山区 :5572
    相城区 :37212
    睢宁县 :111210
    庆元县 :57812
    永康市 :17791
    义乌市 :41471
    顺德区 :181641
    安吉县 :116486
    南安市 :5066
    金东区 :62895
    安溪县 :38759
    牡丹区 :23386
    西乡塘区 :7733
    江干区 :11049
    武进区 :307150
    南海区 :28925
    仙居县 :16388
    东阳市 :10155
    通州区 :5554
    曹县 :16693
    龙泉市 :20602
    港南区 :12826
毛重:
    13 :24173
    12KG :7310
    7kg :17710
    15kg :30027
    16kg :6173
    40 :20999
    28 :9034
    2 :14482
    2.6kg :7275
    12 :23596
    26 :5313
    6kg :10137
    2kg :15934
    6.5 :5644
    27kg :5512
    50KG :8116
    15KG :20014
    10公斤 :5799
    13KG :9117
    5 :42237
    11 :13081
    10KG :35451
    8 :32007
    12kg :9319
    5kg :18438
    50kg :5890
    40kg :5289
    70 :5078
    19 :8551
    20KG :13928
    18KG :5121
    25KG :6975
    10 :53426
    1.5 :5677
    30 :45922
    35KG :13484
    参考详情 :26424
    30KG :7003
    65KG :5907
    20 :49976
    18kg :9503
    100 :26269
    13kg :6672
    3 :33850
    6 :18815
    25 :26482
    17 :11266
    9KG :5743
    8KG :13051
    5KG :10325
    45 :10821
    18 :14586
    25kg :9285
    50 :39854
    3kg :14185
    详细见详情 :5091
    0.1 :6173
    10kg :64662
    9 :9281
    16 :14750
    4kg :12796
    22 :10265
    30kg :16230
    20kg :11450
    16KG :5789
    11kg :9599
    1 :27467
    15公斤 :11048
    参看详情 :24838
    见详情 :57604
    7KG :8549
    23 :6217
    6KG :11161
    15 :44283
    60 :16896
    120 :8160
    4KG :12272
    3KG :7162
    4 :15096
    80 :14888
    7 :21005
    9kg :7488
    14 :16217
    150 :12489
    200 :11752
    35 :15122
    参见详情 :18632
    2.9kg :10344
    8kg :19034
设计元素:
    其他 原木 :7238
    大师设计 雕花 :6524
    大师设计 拼接 金属 :9820
    大师设计 拼接 :6596
    雕花 :18241
    拼接 :38274
    原木 大师设计 拼接 :14763
    卯榫 :13481
    卯榫 原木 大师设计 :17235
    金属 :104728
    其他 大师设计 拼接 金属 :9464
    原木 :92294
    其他 大师设计 拼接 :11549
    拼接 金属 :13314
    做旧 原木 :5559
    其他 原木 大师设计 :16657
    做旧 其他 原木 大师设计 :6697
    做旧 原木 大师设计 :5275
    卯榫 原木 :8211
    大师设计 :419152
    其他 大师设计 金属 :12126
    其他 金属 :5574
    原木 大师设计 :39206
    大师设计 其他 :7491
    大师设计 金属 :36051
    其他 大师设计 :40527
    原木 大师设计 :12981
    其他 大师设计 :12587
    做旧 大师设计 :7918
    其他 :214612
    大师设计 手绘 拼接 :6459
    卯榫 原木 大师设计 :6311
    其他 原木 拼接 :5036
    藤 :5347
    其他 拼接 金属 :5876
    其他 拼接 :5348
    大师设计 拼接 民俗 :6889
    做旧 :100132
    其他 大师设计 拼接 :5066
    原木 拼接 :9812
    卯榫 大师设计 :6345
    做旧 其他 卯榫 原木 古董 大师设计 异形 手绘 拼接 民俗 罗马柱 藤 金属 金箔 银箔 镜面 雕花 :8008
    大师设计 拼接 :29719
    大师设计 金属 :5315
同城服务:
    同城卖家送货上门 :160880
    同城卖家入户安装 :92225
    同城买家上门提货 :203209
    同城上门测量送货到户 :10538
    同城上门测量送货到户并安装 :24120
    同城物流送货上门 :918004
    同城买家上门自提 :10585
安装方式:
    挂钩式 :8411
    壁挂式 :8833
    内装 外装 顶装 侧装 :15245
    落地式 :39317
    墙装 :6809
    免打孔 :120804
    内藏式/无盖式 :7595
    整装 :137864
    打孔 :43969
    半盖式/全盖式 :12728
    吸顶嵌入式 :43700
    吸壁式 :8562
    挂墙式 :126697
    置地式 :105856
    托底 :6218
    组装 :469877
    明装式 :13266
    侧装 :46443
    入墙式 :6949
电压:
    111V~240V（含） :741459
    220V :116617
    ≤36V(含) :247685
    90V-260V :5849
    其他/other :11837
    12V :62611
饰面材质:
    木 :156546
    布 :67954
    人造板 :271995
    实木皮饰面 :22676
    复合面料 :44444
    大理石 :12376
    其他/other :107208
    其他 :213513
    PVC :57401
    三聚氰胺板 :77790
    皮革 :79057
    玻璃 :61522
质保年限:
    4年 :8330
    11年(含)-15年(含) :72163
    1年 :199094
    15年以上 :56786
    10年 :41444
    6年 :6524
    5年 :70916
    2年 :152688
    3年 :541098
工艺:
    电镀 :19021
    色织 :23027
    无纺织造 :17573
    印刷 :22879
    抛光 :8238
    镂空雕花 :6573
    喷漆磨砂 :82934
    镀铬 :19880
    热弯 :5518
    手绘 :47618
    手工编织 :9956
    半手工 :64749
    其他/other :53842
    其他 :67559
    印染 :105294
    纯手工 :43136
    机器织造 :370193
    雕刻 :20145
    喷绘 :114482
    手工织造 :29278
    提花 :7787
人造板种类:
    细木工板 :13666
    密度板/纤维板 :582879
    胶合板 :37584
    其他 :53050
    刨花板/三聚氰胺板 :273925
光源类型:
    LED 其他/other 节能灯 :13238
    LED 其他/other :14282
    白炽灯 节能灯 LED :5014
    LED 节能灯 :28062
    白炽灯 LED 其他/other 节能灯 :7044
    LED :727608
    节能灯 LED :24225
    白炽灯 节能灯 LED :72286
    白炽灯 荧光灯 卤钨灯 LED 其他/other 节能灯 :5249
    白炽灯 :7282
    白炽灯 LED 节能灯 :14266
    白炽灯 LED :14267
功率:
    21W(含)-30W(含) :35525
    其他/other :38369
    11.52W/M :6183
    5.76W/M :5218
    16W(含)-20W(含) :29496
    5W及以下 :413198
    4W/M :11856
    41W(含)-50W(含) :9562
    18W :15430
    31W(含)-40W(含) :62356
    51W(含)-60W(含) :18180
    11W(含)-15W(含) :73463
    其它 :15316
    8W(含)-10W(含) :6889
    6W(含)-10W(含) :139802
灯具是否带光源:
    带光源 :764746
    不带光源 :102491
木质材质:
    柳桉木 :65685
    榉木 :39269
    榆木 :21919
    胡桃木 :5256
    松木 :184628
    花梨木 :10707
    桦木 :62087
    泡桐木 :53180
    杉木 :19590
    橡胶木 :77283
    杨木 :6789
    橡木 :70044
    水曲柳 :19632
    其他 :118039
    白蜡木 :25194
    鸡翅木 :10257
    其他/other :13736
CCC证书编号:
    :789572
门数量:
    5门 :8484
    6门以上 :42430
    2门 :230114
    无门 :155641
    双门 :83021
    单门 :96792
    3门 :78118
    4门 :65292
    3门 2门 :5062
    6门 :12400
    其他/other :6384
填充物:
    记忆棉 :7912
    高弹海绵 :5040
    独立弹簧包 :9716
    白鸭绒 :7302
    PP棉 :221636
    棉 :12703
    大豆纤维 :5996
    化纤 :22439
    海绵 :232474
    聚酯纤维 :56927
    花草 :10302
    其他/other :100928
    其他 :13318
    PVC :5237
    涤纶（聚酯纤维） :5646
    高弹泡沫海绵 :19860
    合成纤维 :5589
    羽绒 :7228
    复合海绵 :7154
结构工艺:
    人造板工艺 :140005
    无 :7402
    塑料工艺 :33345
    木质工艺 :291551
    其他 :94629
    竹藤工艺 :25498
    金属工艺 :147876
适用场景:
    婚礼 摄影 :5716
    日常送礼 :10784
    休闲家居 :6202
    摆放花艺 :5446
    其他休闲 :9547
    笔记本电脑桌 :32454
    台式电脑桌 :66528
    婚礼 :5225
    日常 :6499
    挂壁花艺 :17337
    家用 :417152
    睡衣 :11979
    家庭使用 :13642
    休闲 :7058
    商用 :20309
    婚礼 摄影 舞蹈 :99704
片数:
    4片 :5137
    1片 2片 3片 4片 5片 其他/other :7596
    1片 :506523
    2片 :34980
    其他/other :165051
颜色分类:
    金色小皇冠 飞虫 Fashion小长条 银色小五角星 黑底白色OK 金色星星三横V 圆形匡威2 白色小五角星 黑底方形NEW~ 迷你红色爱心 红白黑三色长条 皇冠M徽章 红色心型 英文盾牌 嘴唇 金色小五角星 盾牌66 皇冠M徽章3 皇冠M徽章2 纯黑小五角星 星星翅膀 时尚套装（款式如图） 个性套装（款式如图） 精美套装（款式如图） 乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 深紫色 紫红色 紫罗兰 紫色 咖啡色 巧克力色 栗色 浅棕色 深卡其布色 深棕色 褐色 驼色 花色 透明 :5272
    34139特惠三件套 14162-特惠浴巾架限购1件 14209-特惠两件套 39066-特惠两件套 24116-特惠三件套 14247-特惠五件套 32678-特惠六件套 37833-豪华三件套 37840-豪华五件套 37857-豪华五件套 37864-豪华六件套 37871-豪华六件套 29999-旗舰版浴巾架 30483-旗舰版两件套 30490-旗舰版三件套 30506-旗舰版四件套 30513-旗舰版五件套 30520-旗舰版五件套 30537-旗舰版六件套 30568-旗舰版六件套 30551-旗舰版六件套 30582-旗舰版八件套 30599-旗舰版八件套 36843-旗舰版八件套 :5938
    发光款白色全套【2米】 电镀款蓝色【10米】 发光款绿色全套【5米】 电镀款银色【10米】 发光款蓝色全套【5米】 发光款红色全套【2米】 发光款绿色全套【2米】 发光款白色全套【5米】 发光款紫色全套【5米】 电镀款红色【10米】 发光款粉红色全套【5米】 两门套装各2米（颜色备注） 两门+中控套装（备注颜色） 声控一个 发光款红色全套【5米】 并联线一拖四 发光款粉红色全套【2米】 四门套装各2米（备注颜色） 电镀款【5米】（颜色备注） 发光款蓝色全套【2米】 发光款紫色全套【2米】 延长线2米 四门+中控套装（备注颜色） 四门+中控+声控套装（备注颜色） :10198
    乳白色 白色 米白色 浅灰色 深灰色 灰色 银色 黑色 桔红色 玫红色 粉红色 红色 藕色 西瓜红 酒红色 卡其色 姜黄色 明黄色 杏色 柠檬黄 桔色 浅黄色 荧光黄 金色 香槟色 黄色 军绿色 墨绿色 浅绿色 绿色 翠绿色 荧光绿 青色 天蓝色 孔雀蓝 宝蓝色 浅蓝色 深蓝色 湖蓝色 蓝色 藏青色 浅紫色 :5009
    实木框黑板4060＋支架 实木框黑板5070＋支架 实木框黑板6090＋支架 咖啡框黑板4060+支架 咖啡框黑板5070+支架 咖啡框黑板6090+支架 黑色框黑板4060+支架 黑色框黑板5070+支架 黑色框黑板6090+支架 实木双面黑板4060 实木双面黑板5070 实木双面黑板6090 咖啡色/黑色黑板4060 请备注 咖啡色/黑色黑板5070 请备注 咖啡色/黑色黑板6090 请备注 升级咖啡黑板44.5*64.5+支架 升级咖啡黑板54.5*74.5+支架 升级咖啡黑板64.5*94.5+支架 升级麻黑框黑板44.5*64.5+支架 升级麻黑框黑板54.5*74.5+支架 升级麻黑框黑板64.5*94.5+支架 升级仿木黑板44.5*64.5+支架 升级仿木框黑板54.5*74.5+支架 升级仿木框黑板64.5*94.5+支架 :6804
    小号有门双面板白色布纹 圆管 小号有门双面板黄色橡木纹 圆管 大号有门双面板白色布纹 圆管 大号有门双面板黄色橡木纹 圆管 小号无门双色面板（白和黄) 圆管 大号无门双色面板(白和黄） 圆管 方管有门双面板白色布纹 大号 方管有门双面板黄色橡木纹 大号 方管无门双色面板（白和黄） 大 方管双层门双面板白色布纹 大号 方管双层门双面板黄色橡木纹 大 加大号方管双面板白色布纹 加大号方管双面板黄色橡木纹 小号有门 粉色圆管 大号有门粉色 圆管 大号方管有门 粉色 大号方管双层门 粉色 单层门4层粉色 方管 加大号方管粉色 加大号无门白黄 :6613
    莱茵白无插 白带插单热 香格里拉酒店冷热风调节 智能感应，拿起出风，放下停止， 无插冷热 带插冷热 冷热无插带漏宝 冷热带插带漏宝 玫瑰金无插单热 玫瑰金带插单热 玫瑰金无插冷热 玫瑰金带插冷热 土豪金无插单热 土豪金带插 土豪金无插冷热带漏宝 土豪金带插冷热带漏宝 紫无插 紫带插 智能感应组合干手支架 莱恩系列冷热款土豪金 豪华酒店款 冷热 土豪金无插冷热 土豪金带插冷热 无底座 :6976
    马卡龙灰 慢慢飞雪 美丽幻想 牡丹花 那年的回忆 全心全意橘 淑女紫 田园风雅蓝 田园荷塘月色 田园回首 田园流年 田园诗意 田园淑女粉 月季 田园邂逅 田园叶影 心情粉 心情橘 叶之韵 玉兰花 彩蝶飞舞 风情荷花 田园平凡 玉兰花-灰 :8499
